X1;X2;X3
227.769;122.856;83.9483;
207.671;102.759;63.8511;
216.673;111.76;72.8522;
211.646;106.733;67.8255;
224.472;119.559;80.6515;
213.972;109.059;70.1518;
208.218;103.306;64.398;
232.34;127.428;88.52;
224.9;119.987;81.0797;
216.438;111.525;72.6177;
235.755;130.842;91.9346;
209.481;104.568;65.6609;
223.636;118.723;79.8158;
213.299;108.386;69.4785;
226.01;121.098;82.1902;
230.542;125.629;86.7214;
230.909;125.996;87.0889;
189.663;84.7501;45.8426;
211.002;106.09;67.1821;
243.156;138.243;99.3357;
220.539;115.627;76.7191;
215.835;110.922;72.0145;
218.034;113.121;74.2135;
212.609;107.697;68.789;
219.457;114.544;75.6369;
202.405;97.4927;58.5852;
224.786;119.873;80.9659;
214.015;109.102;70.1947;
228.663;123.75;84.8423;
217.66;112.748;73.8402;
229.008;124.095;85.1878;
219.624;114.711;75.804;
227.308;122.396;83.4882;
239.195;134.282;95.3748;
231.962;127.05;88.1421;
223.18;118.267;79.3599;
221.885;116.972;78.0647;
203.844;98.9315;60.024;
229.708;124.795;85.8874;
221.694;116.781;77.8738;
213.217;108.304;69.3966;
222.679;117.766;78.8585;
219.532;114.62;75.7122;
224.481;119.568;80.6609;
230.584;125.671;86.7637;
225.799;120.887;81.9792;
224.795;119.882;80.9748;
212.278;107.365;68.4578;
229.014;124.101;85.1937;
226.159;121.246;82.3388;
211.118;106.205;67.2973;
212.177;107.264;68.3569;
217.305;112.392;73.4846;
209.08;104.167;65.2596;
234.387;129.474;90.5666;
242.785;137.872;98.9644;
216.891;111.979;73.0711;
232.159;127.246;88.3386;
228.374;123.461;84.554;
239.492;134.579;95.6718;
230.475;125.562;86.6545;
210.774;105.861;66.9537;
212.171;107.258;68.3509;
231.283;126.37;87.4626;
220.474;115.561;76.6535;
226.395;121.482;82.5746;
229.446;124.533;85.6258;
213.151;108.239;69.3311;
202.436;97.5228;58.6153;
234.99;130.077;91.1694;
230.079;125.167;86.2592;
223.279;118.367;79.4592;
240.339;135.427;96.5191;
231.164;126.251;87.3439;
224.555;119.642;80.7346;
218.863;113.95;75.0423;
222.409;117.496;78.5888;
224.209;119.296;80.3886;
202.022;97.109;58.2015;
201.239;96.3258;57.4183;
214.465;109.552;70.6445;
224.732;119.819;80.9117;
231.298;126.385;87.4779;
213.576;108.663;69.7556;
217.682;112.769;73.8613;
233.815;128.902;89.9947;
237.545;132.632;93.7243;
211.591;106.678;67.7706;
217.885;112.972;74.0649;
226.301;121.388;82.4809;
203.842;98.9295;60.022;
228.782;123.87;84.9621;
228.958;124.045;85.1378;
238.06;133.147;94.2397;
230.133;125.221;86.313;
233.794;128.882;89.974;
254.125;149.212;110.305;
222.533;117.62;78.7127;
209.244;104.332;65.4241;
237.624;132.711;93.8034;
240.159;135.247;96.3393;
209.083;104.17;65.2624;
215.551;110.639;71.7311;
245.22;140.308;101.4;
220.981;116.069;77.1612;
217.37;112.457;73.5495;
231.977;127.065;88.157;
211.343;106.43;67.5223;
208.533;103.62;64.7123;
230.807;125.894;86.9863;
212.906;107.994;69.0862;
206.244;101.331;62.4239;
235.166;130.254;91.3461;
227.826;122.913;84.0055;
231.264;126.351;87.4438;
219.33;114.418;75.51;
215.703;110.791;71.8831;
218.49;113.578;74.6701;
202.067;97.1543;58.2468;
230.402;125.489;86.5819;
233.612;128.699;89.7913;
242.951;138.038;99.131;
216.502;111.589;72.6817;
221.973;117.06;78.1524;
223.42;118.507;79.6;
221.939;117.026;78.1189;
207.974;103.061;64.1535;
232.477;127.564;88.6566;
206.753;101.84;62.9329;
217.661;112.748;73.8407;
213.504;108.591;69.6835;
218.683;113.77;74.8627;
224.275;119.362;80.4549;
220.816;115.903;76.9957;
218.184;113.271;74.3637;
226.187;121.274;82.3663;
222.889;117.977;79.0691;
235.022;130.109;91.2014;
216.616;111.704;72.7962;
239.248;134.335;95.4275;
218.947;114.034;75.127;
227.678;122.765;83.8576;
218.62;113.708;74.8002;
239.336;134.423;95.5156;
221.529;116.617;77.7091;
208.691;103.778;64.8707;
210.055;105.142;66.2344;
225.094;120.181;81.2735;
224.266;119.353;80.4459;
217.115;112.202;73.2949;
217.517;112.604;73.6969;
234.066;129.153;90.2457;
210.279;105.366;66.4585;
223.321;118.408;79.5005;
216.862;111.95;73.042;
220.354;115.441;76.5337;
211.823;106.911;68.003;
235.863;130.95;92.0426;
198.756;93.8428;54.9353;
208.163;103.25;64.3422;
217.79;112.877;73.9699;
230.565;125.652;86.7448;
217.149;112.236;73.3284;
226.601;121.689;82.7812;
226.308;121.395;82.4873;
219.617;114.704;75.7966;
230.372;125.459;86.5516;
229.639;124.727;85.8191;
216.303;111.39;72.4826;
211.165;106.253;67.345;
205.66;100.747;61.8395;
252.543;147.63;108.723;
219.646;114.733;75.8255;
216.862;111.949;73.0414;
215.954;111.041;72.1339;
216.291;111.378;72.4709;
219.432;114.519;75.6119;
235.592;130.68;91.7722;
225.537;120.624;81.7169;
218.039;113.126;74.219;
225.897;120.984;82.0764;
219.592;114.68;75.7721;
222.949;118.037;79.1291;
228.057;123.144;84.2365;
228.837;123.924;85.0163;
237.327;132.415;93.5071;
221.222;116.309;77.4014;
208.578;103.666;64.7581;
216.077;111.165;72.2572;
222.61;117.697;78.7899;
238.419;133.506;94.5988;
227.892;122.979;84.0715;
220.071;115.158;76.2509;
223.365;118.452;79.5448;
236.838;131.926;93.0181;
231.159;126.246;87.3389;
232.338;127.425;88.5173;
222.308;117.395;78.4878;
236.156;131.244;92.3362;
226.574;121.661;82.7538;
226.589;121.676;82.7684;
202.61;97.6974;58.7899;
207.969;103.056;64.1485;
216.531;111.618;72.7108;
214.746;109.833;70.926;
214.452;109.54;70.6321;
215.7;110.788;71.88;
215.061;110.149;71.241;
222.227;117.314;78.4068;
227.649;122.736;83.8286;
217.902;112.99;74.0821;
237.818;132.906;93.9982;
226.166;121.253;82.3457;
221.12;116.208;77.3;
228.419;123.506;84.5984;
210.353;105.44;66.5328;
217.925;113.013;74.1051;
219.269;114.356;75.4485;
216.045;111.132;72.2245;
193.311;88.398;49.4905;
228.452;123.539;84.6317;
217.649;112.736;73.8283;
235.639;130.726;91.8185;
206.24;101.327;62.4198;
222.958;118.045;79.1375;
208.124;103.212;64.3041;
222.017;117.105;78.1972;
219.806;114.894;75.9862;
218.83;113.917;75.0098;
241.257;136.345;97.4371;
240.618;135.705;96.7975;
216.149;111.236;72.3284;
244.292;139.379;100.472;
229.105;124.192;85.2843;
224.276;119.364;80.4562;
226.867;121.954;83.0463;
221.056;116.143;77.2357;
223.867;118.955;80.0471;
218.929;114.017;75.109;
206.473;101.56;62.6526;
227.979;123.066;84.1589;
223.933;119.02;80.1123;
214.875;109.962;71.0549;
217.081;112.168;73.2606;
225.951;121.038;82.1303;
224.423;119.511;80.6031;
227.597;122.685;83.7772;
218.383;113.47;74.5625;
236.729;131.816;92.9084;
208.824;103.911;65.0037;
203.95;99.0371;60.1296;
229.921;125.008;86.1006;
221.982;117.07;78.1621;
234.013;129.1;90.1929;
217.392;112.479;73.5715;
228.805;123.892;84.9843;
215.839;110.926;72.0185;
204.872;99.9593;61.0518;
223.773;118.86;79.9529;
223.195;118.282;79.3746;
226.861;121.948;83.0406;
211.363;106.451;67.5432;
220.628;115.715;76.8075;
227.34;122.428;83.52;
219.478;114.565;75.6578;
240.912;135.999;97.092;
227.747;122.834;83.9268;
214.79;109.877;70.9699;
227.063;122.151;83.2432;
224.767;119.855;80.9472;
212.835;107.922;69.0146;
210.145;105.233;66.3252;
193.595;88.6824;49.7749;
239.02;134.107;95.1997;
216.438;111.525;72.6173;
217.18;112.268;73.3601;
237.395;132.482;93.5745;
215.934;111.022;72.1143;
236.016;131.103;92.1953;
208.493;103.58;64.6725;
206.46;101.547;62.6394;
219.335;114.422;75.5146;
212.855;107.943;69.035;
215.288;110.375;71.4675;
234.098;129.185;90.2778;
224.854;119.941;81.0338;
225.244;120.332;81.424;
227.146;122.233;83.3257;
224.68;119.767;80.8597;
213.654;108.741;69.8333;
203.342;98.4295;59.522;
222.613;117.701;78.793;
219.434;114.521;75.6133;
219.198;114.285;75.3778;
231.089;126.176;87.2689;
231.687;126.774;87.8666;
213.004;108.091;69.1838;
198.045;93.1319;54.2244;
233.107;128.194;89.2869;
223.505;118.592;79.6847;
216.045;111.133;72.2252;
215.667;110.754;71.8467;
219.104;114.191;75.2838;
218.977;114.064;75.1567;
210.517;105.604;66.6964;
220.88;115.967;77.0596;
234.585;129.673;90.765;
212.531;107.619;68.7113;
228.949;124.036;85.1284;
229.522;124.609;85.7019;
217.541;112.628;73.7203;
223.467;118.554;79.6466;
219.837;114.924;76.0165;
223.198;118.285;79.3777;
222.985;118.072;79.1649;
218.272;113.359;74.4514;
238.055;133.142;94.2348;
225.013;120.1;81.1926;
215.705;110.793;71.8852;
222.246;117.333;78.4257;
210.91;105.998;67.0901;
211.163;106.251;67.3433;
228.922;124.009;85.1017;
209.961;105.048;66.1405;
221.595;116.682;77.7749;
217.966;113.053;74.1457;
230.826;125.913;87.0053;
226.121;121.208;82.3008;
231.019;126.106;87.1984;
210.711;105.798;66.891;
208.774;103.861;64.9533;
224.599;119.686;80.7787;
221.431;116.518;77.6103;
213.836;108.923;70.0153;
247.718;142.805;103.898;
216.487;111.574;72.6665;
223.916;119.003;80.0954;
230.751;125.838;86.9303;
209.831;104.918;66.0108;
214.675;109.762;70.8545;
220.69;115.777;76.8699;
226.682;121.77;82.8621;
225.666;120.754;81.8461;
218.072;113.16;74.2521;
221.108;116.195;77.288;
227.753;122.841;83.9332;
222.39;117.477;78.5697;
223.615;118.702;79.7946;
220.559;115.646;76.7388;
235.522;130.609;91.7018;
235.501;130.589;91.6812;
230.153;125.241;86.3331;
221.167;116.254;77.3469;
231.983;127.07;88.1626;
229.231;124.318;85.4108;
216.409;111.496;72.5883;
217.612;112.7;73.792;
225.34;120.427;81.5197;
234.447;129.534;90.6264;
226.925;122.012;83.1043;
230.254;125.342;86.4341;
217.412;112.499;73.5914;
225.269;120.357;81.4491;
216.141;111.228;72.3203;
237.597;132.684;93.7768;
219.824;114.911;76.0035;
219.419;114.506;75.5987;
221.211;116.298;77.3909;
207.765;102.853;63.9451;
229.362;124.449;85.5413;
209.17;104.257;65.3494;
203.527;98.6146;59.7071;
219.094;114.181;75.2733;
210.46;105.548;66.6402;
215.659;110.746;71.8389;
230.082;125.17;86.262;
217.241;112.329;73.4211;
208.738;103.825;64.9173;
210.723;105.811;66.9032;
221.534;116.621;77.7136;
219.232;114.32;75.4121;
212.703;107.791;68.8832;
223.292;118.379;79.4718;
232.061;127.148;88.2406;
220.834;115.921;77.0138;
222.39;117.477;78.5694;
219.395;114.482;75.5747;
229.595;124.683;85.7751;
214.863;109.95;71.0425;
233.602;128.689;89.7814;
211.201;106.289;67.3811;
204.586;99.6736;60.7661;
218.863;113.95;75.0426;
216.237;111.324;72.4163;
235.19;130.277;91.3693;
216.513;111.6;72.6924;
217.324;112.411;73.5034;
213.022;108.11;69.202;
221.418;116.505;77.5974;
218.344;113.432;74.5241;
213.776;108.864;69.9561;
231.528;126.615;87.7079;
219.69;114.777;75.8694;
218.639;113.727;74.819;
223.874;118.962;80.0542;
215.082;110.169;71.2615;
231.462;126.549;87.6414;
226.897;121.984;83.0763;
217.099;112.187;73.2791;
205.754;100.841;61.934;
236.449;131.536;92.6283;
216.422;111.509;72.6013;
233.71;128.798;89.8901;
223.395;118.482;79.5743;
217.893;112.98;74.0726;
231.139;126.227;87.3192;
216.384;111.472;72.5641;
223.942;119.03;80.122;
212.007;107.094;68.1863;
212.543;107.63;68.7224;
223.759;118.846;79.9388;
211.046;106.133;67.2254;
220.861;115.948;77.0405;
214.419;109.506;70.5988;
220.055;115.142;76.2344;
202.047;97.1342;58.2267;
218.289;113.376;74.4689;
204.411;99.4987;60.5912;
236.045;131.132;92.2249;
194.782;89.8692;50.9617;
215.322;110.41;71.5022;
239.864;134.951;96.0435;
229.33;124.418;85.5101;
225.72;120.807;81.8993;
215.99;111.077;72.1697;
204.208;99.2957;60.3882;
232.512;127.599;88.6919;
217.073;112.16;73.2526;
221.613;116.701;77.7931;
207.818;102.905;63.9978;
222.876;117.964;79.0561;
216.636;111.723;72.8158;
211.44;106.527;67.6193;
227.788;122.875;83.9676;
226.531;121.618;82.7109;
225.482;120.57;81.6622;
228.238;123.326;84.4181;
231.955;127.042;88.1348;
213.725;108.813;69.9052;
215.614;110.702;71.7941;
214.878;109.966;71.0581;
219.36;114.447;75.5398;
219.998;115.085;76.1778;
221.439;116.526;77.6188;
226.651;121.738;82.8304;
218.074;113.161;74.2539;
211.751;106.839;67.931;
217.884;112.971;74.0639;
227.185;122.272;83.3647;
214.749;109.836;70.9286;
229.128;124.215;85.3074;
220.474;115.561;76.6538;
220.783;115.87;76.9627;
235.511;130.599;91.6911;
220.637;115.724;76.817;
213.129;108.216;69.3087;
231.526;126.613;87.7053;
221.728;116.815;77.9075;
220.054;115.141;76.2335;
201.771;96.8581;57.9506;
203.287;98.3743;59.4669;
237.498;132.585;93.6778;
217.524;112.611;73.7038;
242.998;138.085;99.1773;
237.736;132.824;93.9162;
200.851;95.938;57.0305;
208.819;103.906;64.9987;
221.586;116.673;77.7656;
209.72;104.807;65.8999;
222.389;117.476;78.5685;
232.271;127.358;88.4504;
234.631;129.718;90.811;
224.317;119.405;80.4972;
203.661;98.7486;59.8411;
217.434;112.521;73.6136;
213.158;108.245;69.3378;
210.671;105.758;66.8505;
218.013;113.1;74.1927;
218.553;113.641;74.733;
218.969;114.056;75.1485;
222.912;117.999;79.0916;
229.878;124.965;86.0573;
212.367;107.454;68.5465;
222.172;117.259;78.3516;
229.928;125.016;86.108;
220.307;115.394;76.4865;
235.233;130.32;91.4123;
219.29;114.377;75.4694;
227.437;122.524;83.6167;
224.916;120.003;81.0954;
213.055;108.142;69.2344;
219.192;114.28;75.3721;
219.629;114.716;75.8087;
229.947;125.035;86.1271;
218.489;113.577;74.6692;
240.601;135.688;96.7805;
228.068;123.155;84.2474;
238.264;133.351;94.4435;
233.261;128.348;89.4408;
211.628;106.715;67.8079;
234.818;129.905;90.9974;
229.216;124.303;85.3954;
228.99;124.077;85.1695;
213.655;108.742;69.8345;
214.811;109.898;70.991;
231.13;126.217;87.3093;
223.789;118.876;79.969;
189.849;84.9364;46.029;
226.677;121.764;82.8564;
222.315;117.402;78.4945;
223.031;118.118;79.2109;
232.424;127.511;88.6033;
212.08;107.168;68.2601;
220.249;115.337;76.4291;
222.559;117.646;78.7384;
226.19;121.277;82.3694;
231.923;127.01;88.103;
223.454;118.541;79.6337;
217.538;112.625;73.7175;
224.671;119.758;80.8509;
235.547;130.635;91.7271;
235.042;130.13;91.2222;
226.807;121.894;82.9867;
219.958;115.045;76.1376;
206.423;101.51;62.6027;
199.858;94.9451;56.0376;
230.011;125.098;86.1905;
211.905;106.992;68.0845;
225.822;120.91;82.002;
227.851;122.938;84.0308;
213.394;108.481;69.5735;
201.05;96.1372;57.2297;
209.023;104.11;65.2026;
205.07;100.158;61.2502;
221.452;116.539;77.6319;
217.705;112.792;73.8844;
225.066;120.153;81.2459;
217.716;112.803;73.8955;
229.831;124.919;86.0112;
197.782;92.869;53.9615;
223.288;118.375;79.4676;
226.143;121.231;82.3232;
223.492;118.579;79.6715;
212.892;107.979;69.0715;
214.521;109.608;70.7008;
220.529;115.616;76.7088;
215.128;110.215;71.3076;
218.667;113.754;74.8467;
213.693;108.781;69.8731;
213.566;108.654;69.7463;
232.161;127.249;88.3412;
224.909;119.996;81.089;
221.469;116.556;77.6487;
216.038;111.126;72.2182;
221.316;116.403;77.4959;
217.681;112.768;73.8607;
240.194;135.282;96.3742;
212.204;107.291;68.3835;
221.992;117.079;78.1717;
213.749;108.836;69.9287;
225.297;120.384;81.4766;
207.04;102.127;63.2196;
229.459;124.546;85.6385;
213.72;108.808;69.9001;
218.036;113.123;74.2158;
211.728;106.815;67.9076;
221.163;116.251;77.3432;
218.11;113.197;74.2898;
207.47;102.557;63.6495;
227.601;122.688;83.7807;
220.516;115.603;76.6956;
223.88;118.968;80.0601;
204.446;99.5336;60.6261;
213.189;108.276;69.3683;
224.54;119.627;80.7197;
217.846;112.933;74.0258;
232.671;127.759;88.851;
226.396;121.483;82.5756;
243.709;138.796;99.889;
219.664;114.751;75.8434;
219.367;114.455;75.5472;
216.918;112.006;73.0981;
227.56;122.647;83.7399;
227.169;122.257;83.3492;
217.49;112.577;73.6698;
219.383;114.47;75.5627;
229.033;124.12;85.2128;
210.216;105.303;66.3958;
209.942;105.029;66.1214;
236.588;131.675;92.7679;
228.17;123.258;84.35;
208.044;103.131;64.2237;
226.745;121.832;82.9245;
223.367;118.454;79.5467;
232.942;128.029;89.1216;
221.794;116.881;77.9736;
220.381;115.468;76.5609;
193.777;88.8647;49.9572;
200.384;95.4712;56.5637;
237.011;132.098;93.1906;
229.689;124.777;85.8691;
215.63;110.717;71.8095;
231.48;126.568;87.6601;
230.117;125.204;86.297;
207.847;102.935;64.0271;
199.678;94.7656;55.8581;
224.053;119.141;80.2331;
220.378;115.465;76.5579;
216.74;111.828;72.9201;
231.981;127.069;88.161;
219.502;114.59;75.6821;
228.347;123.434;84.5267;
218.303;113.39;74.4827;
205.899;100.986;62.0789;
226.477;121.564;82.6566;
219.4;114.487;75.5795;
215.378;110.465;71.5577;
228.801;123.888;84.9806;
221.101;116.189;77.2811;
221.71;116.798;77.8901;
214.383;109.47;70.5623;
217.549;112.637;73.7292;
213.14;108.227;69.3193;
213.769;108.856;69.9484;
220.961;116.048;77.1409;
211.474;106.561;67.6537;
214.548;109.635;70.7277;
208.684;103.772;64.864;
211.889;106.976;68.0687;
236.651;131.738;92.831;
215.639;110.726;71.8184;
224.555;119.643;80.7351;
224.227;119.315;80.4072;
229.974;125.061;86.1536;
214.72;109.807;70.8998;
217.192;112.279;73.3716;
206.43;101.517;62.6093;
206.996;102.083;63.1753;
206.32;101.407;62.4996;
210.554;105.641;66.7333;
229.408;124.495;85.5876;
232.529;127.617;88.7091;
228.481;123.569;84.6611;
214.779;109.866;70.9588;
221.376;116.463;77.5559;
208.243;103.331;64.4233;
203.143;98.2299;59.3225;
216.722;111.809;72.9014;
228.006;123.093;84.1857;
217.783;112.87;73.9629;
216.831;111.918;73.0106;
231.272;126.36;87.4522;
229.112;124.2;85.2922;
212.539;107.626;68.7184;
250.856;145.944;107.036;
222.5;117.587;78.6795;
228.849;123.937;85.029;
242.289;137.376;98.4688;
221.812;116.9;77.9922;
232.287;127.374;88.4666;
219.482;114.569;75.6619;
226.281;121.369;82.4612;
213.188;108.276;69.368;
225.786;120.873;81.9653;
239.147;134.234;95.3269;
217.09;112.177;73.2694;
222.967;118.054;79.1466;
214.515;109.602;70.6946;
231.268;126.355;87.4477;
209.11;104.197;65.2899;
219.449;114.536;75.6287;
209.485;104.572;65.6648;
238.262;133.349;94.4416;
214.049;109.137;70.2291;
218.069;113.156;74.2484;
211.669;106.756;67.8489;
212.774;107.861;68.954;
223.419;118.507;79.5991;
225.615;120.703;81.7951;
220.102;115.189;76.2814;
225.047;120.134;81.2269;
221.595;116.682;77.7745;
214.067;109.154;70.247;
216.638;111.726;72.8181;
206.039;101.126;62.2186;
227.023;122.111;83.2032;
219.42;114.507;75.5997;
223.732;118.819;79.9118;
236.639;131.726;92.8189;
203.225;98.3127;59.4052;
225.379;120.467;81.5591;
221.676;116.763;77.8556;
211.866;106.954;68.0461;
211.81;106.898;67.9902;
225.984;121.072;82.1642;
220.769;115.856;76.9488;
217.754;112.841;73.9336;
220.503;115.59;76.6823;
225.909;120.996;82.0883;
218.181;113.268;74.361;
239.908;134.995;96.0879;
221.746;116.833;77.9259;
210.067;105.155;66.2471;
211.704;106.791;67.8836;
229.451;124.539;85.6312;
218.574;113.661;74.7538;
216.618;111.705;72.7974;
221.463;116.551;77.6431;
228.039;123.126;84.219;
234.821;129.908;91.0007;
208.903;103.99;65.0828;
209.19;104.277;65.3693;
219.405;114.492;75.5847;
223.206;118.293;79.3853;
213.083;108.17;69.2626;
209.432;104.519;65.6119;
230.945;126.032;87.1249;
219.875;114.962;76.0546;
221.525;116.613;77.7051;
211.545;106.632;67.7246;
222.748;117.835;78.9279;
199.444;94.531;55.6235;
214.435;109.522;70.6146;
235.617;130.704;91.7966;
224.517;119.605;80.6971;
240.999;136.086;97.1784;
226.698;121.785;82.8779;
222.728;117.815;78.9078;
227.197;122.284;83.3765;
224.423;119.51;80.6029;
227.511;122.599;83.6911;
210.74;105.827;66.92;
233.49;128.577;89.6696;
207.25;102.338;63.4302;
226.53;121.617;82.7098;
240.57;135.657;96.7495;
217.615;112.702;73.7946;
227.236;122.323;83.4159;
209.578;104.665;65.758;
222.666;117.754;78.8461;
228.479;123.566;84.659;
216.794;111.881;72.9735;
222.053;117.14;78.2324;
218.327;113.414;74.5064;
211.055;106.143;67.2351;
231.892;126.979;88.072;
221.039;116.127;77.2192;
218.98;114.067;75.1594;
218.802;113.889;74.9817;
220.573;115.66;76.7527;
246.447;141.534;102.627;
234.487;129.575;90.6673;
219.074;114.161;75.2539;
227.746;122.833;83.9258;
221.279;116.366;77.459;
212.339;107.427;68.5192;
210.108;105.195;66.2873;
218.203;113.29;74.3826;
220.62;115.707;76.7993;
217.382;112.47;73.5621;
228.145;123.233;84.3252;
218.537;113.625;74.717;
227.852;122.94;84.0321;
211.137;106.224;67.317;
204.393;99.4799;60.5724;
227.396;122.483;83.5753;
224.986;120.073;81.1656;
240.037;135.124;96.2169;
233.21;128.298;89.3901;
230.419;125.506;86.5984;
219.877;114.964;76.0567;
226.648;121.735;82.8275;
214.857;109.944;71.0364;
241.973;137.06;98.1527;
224.898;119.985;81.0779;
222.003;117.09;78.1824;
232.976;128.063;89.1555;
224.346;119.433;80.5253;
215.765;110.852;71.9447;
239.287;134.374;95.4668;
226.942;122.029;83.1217;
230.917;126.004;87.0963;
243.184;138.271;99.3634;
222.67;117.757;78.8499;
220.522;115.609;76.7015;
220.974;116.061;77.154;
222.183;117.27;78.3629;
212.09;107.177;68.2695;
223.3;118.387;79.4797;
220.975;116.062;77.155;
197.571;92.6586;53.7511;
225.257;120.344;81.4369;
230.791;125.879;86.9711;
227.274;122.361;83.4535;
220.38;115.468;76.5601;
212.404;107.491;68.5839;
227.4;122.487;83.5793;
216.074;111.161;72.2534;
231.431;126.519;87.6111;
197.807;92.8946;53.9871;
229.896;124.983;86.0757;
223.983;119.07;80.1624;
205.853;100.94;62.0326;
231.856;126.943;88.0359;
218.562;113.649;74.7415;
211.024;106.111;67.2035;
221.568;116.656;77.7481;
224.963;120.05;81.1428;
224.303;119.39;80.4824;
230.637;125.724;86.8164;
197.381;92.4685;53.561;
221.758;116.845;77.938;
222.024;117.111;78.2039;
229.276;124.363;85.4555;
210.872;105.959;67.0515;
222.35;117.438;78.5301;
223.48;118.567;79.66;
226.514;121.601;82.6938;
215.889;110.976;72.0684;
229.484;124.571;85.6633;
215.911;110.998;72.0905;
211.81;106.897;67.99;
207.124;102.211;63.3035;
215.055;110.142;71.2344;
222.051;117.138;78.2305;
227.199;122.286;83.3783;
226.865;121.953;83.0452;
218.443;113.53;74.6225;
223.976;119.063;80.1557;
209.542;104.629;65.7218;
223.561;118.649;79.7412;
230.454;125.541;86.6337;
205.719;100.806;61.8986;
218.048;113.136;74.2282;
222.891;117.978;79.0708;
229.644;124.731;85.8237;
219.25;114.337;75.43;
219.33;114.417;75.5099;
208.64;103.728;64.8202;
233.552;128.639;89.7317;
241.653;136.74;97.8323;
211.497;106.585;67.6772;
219.109;114.196;75.2888;
214.773;109.86;70.9525;
226.727;121.815;82.9071;
223.853;118.94;80.0327;
226.327;121.414;82.5066;
217.813;112.9;73.9926;
220.459;115.546;76.6384;
215.893;110.98;72.0723;
221.506;116.593;77.6853;
214.102;109.189;70.2813;
220.807;115.895;76.9871;
214.06;109.147;70.2394;
216.833;111.92;73.0129;
237.353;132.44;93.533;
233.253;128.34;89.4328;
230.87;125.957;87.0496;
241.306;136.393;97.486;
246.486;141.574;102.666;
210.459;105.547;66.6392;
209.493;104.58;65.6725;
233.245;128.332;89.4245;
204.191;99.278;60.3705;
242.637;137.724;98.8169;
217.004;112.091;73.1838;
226.284;121.371;82.4633;
211.169;106.256;67.3484;
209.114;104.201;65.294;
211.153;106.241;67.3332;
210.976;106.063;67.1554;
227.387;122.474;83.5668;
205.374;100.461;61.5533;
230.131;125.218;86.3105;
196.447;91.5344;52.6269;
215.499;110.586;71.6785;
229.861;124.948;86.0408;
207.195;102.282;63.3743;
225.344;120.431;81.5238;
218.46;113.547;74.6393;
193.699;88.7864;49.8789;
227.147;122.234;83.3269;
227.546;122.633;83.7257;
219.27;114.357;75.4495;
244.034;139.122;100.214;
210.448;105.535;66.6278;
213.317;108.404;69.4966;
202.39;97.4772;58.5697;
222.011;117.099;78.191;
225.23;120.317;81.4098;
217.626;112.714;73.8062;
212.165;107.253;68.345;
223.98;119.068;80.1601;
214.134;109.221;70.314;
